SiteID,Latitude,Longitude,Elevation,d18O,nyrs
isomap_0635000,51.57,4.9299999999999997,11.0,-7.5561404180960698,7.0
isomap_0635001,51.299999999999997,3.75,2.0,-6.628018018244151,3.0
isomap_0638000,50.920000000000002,5.7800000000000002,111.0,-7.4563848279010951,11.0
isomap_0647801,50.700000000000003,5.4699999999999998,190.0,-6.8713546865496635,4.0
isomap_0660100,47.54260867,7.5837169299999996,316.0,-8.7208308016249028,11.0
isomap_0661700,46.981414010000002,6.6079996550000004,1042.0,-9.7123265877495584,21.0
isomap_0663000,46.890000000000001,7.4900000000000002,520.0,-9.8348947258556247,4.0
isomap_0663100,46.952225630000001,7.4393205709999997,511.0,-9.7752010966039151,43.0
isomap_0663300,47.372335970000002,8.0831382450000007,397.0,-9.1633523026901393,20.0
isomap_0663700,46.727386340000002,8.1867821630000002,632.0,-11.115127806661754,44.0
isomap_0668100,47.42692898,9.4007768790000004,779.0,-10.431863513946492,10.0
isomap_0670500,46.398641189999999,6.2338037870000003,436.0,-8.61512990817487,22.0
isomap_0672000,46.220308670000001,7.3384844500000002,482.0,-9.939731592977946,16.0
isomap_0673401,46.65772518,8.2927068320000004,1055.0,-12.196278854131736,44.0
isomap_0674400,46.572484709999998,8.3327196210000007,1950.0,-13.446707581061576,44.0
